Home team,Away team,Home score,Away score,Home odds,Draw odds,Away odds
Force,Chiefs,7,16,5.91,34.12,1.13
Crusaders,Stormers,57,24,1.14,33.33,5.62
Highlanders,Sunwolves,40,15,1,72,42.75
Lions,Jaguares,24,21,1.1,34.05,6.66
Waratahs,Kings,24,26,1.04,48.35,10.25
Hurricanes,Brumbies,56,21,1.09,34.21,7.18
Bulls,Jaguares,26,13,1.71,21.64,2.18
Stormers,Lions,16,29,1.68,21.2,2.23
Cheetahs,Chiefs,27,41,5.94,33.21,1.13
Rebels,Brumbies,19,17,3.62,24.57,1.29
Blues,Hurricanes,24,28,2.93,24.52,1.42
Reds,Kings,47,34,1.13,33.94,5.94
Crusaders,Sunwolves,50,3,1.01,56.5,22.75
Force,Kings,46,41,1.11,34.01,6.75
Stormers,Chiefs,34,26,2.48,22.91,1.56
Sharks,Jaguares,18,13,1.37,22.94,3.22
Brumbies,Reds,43,10,1.31,23.3,3.62
Highlanders,Blues,26,20,1.44,22.34,2.92
Sunwolves,Bulls,21,20,5.13,27.82,1.17
Hurricanes,Waratahs,38,28,1.07,35.78,8.06
Waratahs,Crusaders,22,41,3.77,24.7,1.27
Lions,Sharks,34,29,1.23,24.9,4.22
Stormers,Cheetahs,53,10,1.2,25.94,4.57
Reds,Hurricanes,15,34,6.73,34.36,1.11
Chiefs,Bulls,28,12,1.06,39.65,9.39
Blues,Force,24,15,1.07,38.59,8.32
Highlanders,Rebels,51,12,1.04,42.39,10.36
Jaguares,Reds,22,8,1.12,31.6,6.44
Cheetahs,Sharks,30,38,2.08,21.04,1.8
Kings,Lions,19,42,12.41,47.91,1.02
Sunwolves,Stormers,31,44,7.49,38.1,1.08
Brumbies,Highlanders,13,18,2.19,21.74,1.71
Blues,Bulls,38,14,1.19,26.71,4.92
Rebels,Waratahs,25,32,2.76,23.18,1.47
Crusaders,Force,45,17,1.06,38.09,8.8
Jaguares,Cheetahs,41,14,1.19,26.46,4.78
Sharks,Kings,19,17,1.02,44.4,15.97
Lions,Reds,44,14,1.16,28.92,5.32
Waratahs,Brumbies,12,28,1.56,20.68,2.5
Hurricanes,Highlanders,41,15,1.25,25.31,4.05
Bulls,Sunwolves,34,21,1.01,46.95,19.29
Rebels,Chiefs,14,27,8.33,36.09,1.07
Crusaders,Blues,33,24,1.53,22.42,2.57
Jaguares,Lions,36,24,1.53,21.93,2.58
Sharks,Waratahs,37,14,1.49,21.85,2.7
Cheetahs,Sunwolves,38,31,1.01,49.82,16.69
Kings,Stormers,10,41,9,44.47,1.06
Reds,Crusaders,20,22,3.45,23.05,1.33
Blues,Highlanders,12,16,1.66,21.45,2.29
Brumbies,Force,25,17,1.38,23.84,3.16
Chiefs,Hurricanes,26,18,1.97,19.71,1.88
Cheetahs,Bulls,34,28,2.15,22.61,1.73
Stormers,Jaguares,32,25,1.25,26,4
Lions,Waratahs,55,36,1.27,23.92,3.91
Sunwolves,Kings,23,37,2.1,22.5,1.77
Brumbies,Sharks,22,27,1.56,20.73,2.52
Highlanders,Crusaders,27,30,1.54,21.71,2.55
Hurricanes,Rebels,71,6,1.03,40.9,12.47
Chiefs,Blues,41,26,1.39,23.85,3.13
Force,Reds,26,19,2.54,21.87,1.54
Stormers,Bulls,37,24,1.5,21.58,2.67
Kings,Jaguares,26,39,4.95,28.27,1.18
Cheetahs,Lions,25,28,3.86,24.13,1.27
Waratahs,Force,19,13,1.19,29.16,4.79
Crusaders,Brumbies,17,13,1.11,32.63,6.54
Sunwolves,Hurricanes,17,83,14.32,45.4,1.02
Reds,Sharks,28,26,1.49,22.46,2.71
Highlanders,Chiefs,15,24,1.6,22.15,2.39
Rebels,Blues,18,56,2.69,22.97,1.5
Hurricanes,Lions,20,3,1.32,21.94,3.55
Lions,Highlanders,42,30,1.83,20.85,2.02
Hurricanes,Chiefs,25,9,1.57,21.57,2.47
Stormers,Chiefs,21,60,2.4,20.71,1.6
Lions,Crusaders,42,25,1.81,20.86,2.04
Hurricanes,Sharks,41,0,1.12,29.42,6.2
Brumbies,Highlanders,9,15,2.83,21.14,1.45
Jaguares,Lions,34,22,1.23,25.5,4.32
Cheetahs,Bulls,17,43,2.28,21.24,1.66
Stormers,Kings,52,24,1.01,38.75,16
Brumbies,Force,24,10,1.05,36.31,9.56
Highlanders,Chiefs,25,15,1.65,20.6,2.3
Crusaders,Hurricanes,10,35,1.44,21.89,2.88
Sharks,Sunwolves,40,29,1.01,38.7,20.45
Reds,Rebels,28,31,1.81,21.09,2.04
Blues,Waratahs,34,28,1.69,21.61,2.22
Jaguares,Highlanders,8,34,4.41,23.22,1.22
Sharks,Cheetahs,26,10,1.23,24.26,4.38
Bulls,Sunwolves,50,3,1.01,57.45,13.65
Force,Stormers,3,22,4.45,23.89,1.22
Waratahs,Hurricanes,17,28,1.73,20.35,2.16
Crusaders,Rebels,85,26,1.04,45.45,10.18
Lions,Kings,57,21,1.01,47.03,21.29
Reds,Chiefs,5,50,5.52,28.25,1.15
Blues,Brumbies,40,15,2.34,20.61,1.63
Jaguares,Bulls,29,11,1.59,20.59,2.42
Lions,Sharks,37,10,1.37,22.27,3.21
Kings,Highlanders,18,48,13.08,37.55,1.02
Cheetahs,Force,30,29,1.36,24.12,3.2
Rebels,Stormers,31,57,2.13,20.78,1.75
Hurricanes,Blues,37,27,1.17,26.62,5.14
Sunwolves,Waratahs,12,57,10.52,46.3,1.04
Brumbies,Reds,43,24,1.14,29.88,5.68
Chiefs,Crusaders,23,13,2.45,20.44,1.58
Rebels,Force,27,22,1.21,25.7,4.56
Bulls,Lions,20,56,1.76,20.72,2.11
Stormers,Cheetahs,31,24,1.17,27.45,5.24
Brumbies,Sunwolves,66,5,1.01,54.97,14.15
Blues,Crusaders,21,26,4.35,24.13,1.23
Kings,Jaguares,29,22,8.17,37.89,1.07
Waratahs,Chiefs,45,25,2.39,20.87,1.61
Hurricanes,Highlanders,27,20,2,20.38,1.87
Bulls,Stormers,17,13,2.34,20.45,1.63
Sharks,Kings,53,0,1.01,46.11,14.92
Lions,Jaguares,52,24,1.18,28.63,4.9
Force,Blues,13,17,2.42,21.74,1.59
Chiefs,Rebels,36,15,1.12,31.46,6.2
Reds,Sunwolves,35,25,1.12,33.58,6.24
Crusaders,Waratahs,29,10,1.18,26.81,5.07
Jaguares,Sharks,22,25,1.96,20.69,1.89
Lions,Blues,43,5,1.42,21.66,2.97
Cheetahs,Kings,34,20,1.04,50.65,10.69
Sunwolves,Stormers,17,17,10.45,46.57,1.04
Waratahs,Bulls,31,8,1.34,21.78,3.39
Hurricanes,Reds,29,14,1.14,29.4,5.99
Rebels,Brumbies,22,30,2.62,21.41,1.52
Highlanders,Crusaders,34,26,1.91,20.33,1.94
Kings,Blues,18,34,9.8,47.56,1.05
Sharks,Hurricanes,32,15,2.54,21.27,1.55
Waratahs,Cheetahs,21,6,1.14,30.32,5.64
Chiefs,Highlanders,13,26,1.47,22.38,2.75
Sunwolves,Force,22,40,2.59,22.15,1.52
Brumbies,Bulls,23,6,1.38,24.65,3.11
Crusaders,Reds,38,5,1.07,41.25,7.91
Jaguares,Kings,73,27,1.04,48.97,9.99
Stormers,Waratahs,30,32,1.43,22.56,2.91
Lions,Hurricanes,17,50,1.97,21.94,1.88
Reds,Cheetahs,30,17,1.44,23.4,2.84
Highlanders,Brumbies,23,10,1.34,23.34,3.38
Blues,Rebels,36,30,1.34,24.31,3.3
Force,Bulls,20,42,2.97,23.53,1.41
Chiefs,Sharks,24,22,1.15,31.01,5.47
Brumbies,Crusaders,14,40,1.72,20.68,2.18
Kings,Lions,10,45,11.24,48.46,1.03
Stormers,Reds,40,22,1.16,30.38,5.22
Force,Waratahs,13,49,2.61,21.55,1.52
Hurricanes,Chiefs,27,28,1.65,20.68,2.3
Sunwolves,Jaguares,36,28,6.37,35.46,1.11
Rebels,Cheetahs,36,14,1.5,22.9,2.67
Highlanders,Sharks,14,15,1.19,27.65,4.67
Lions,Stormers,29,22,1.57,20.58,2.5
Bulls,Reds,41,22,1.28,25.01,3.75
Waratahs,Brumbies,20,26,2.07,20.87,1.8
Blues,Sharks,23,18,1.42,22.41,2.97
Cheetahs,Sunwolves,92,17,1.14,33.95,5.71
Rebels,Hurricanes,13,38,2.45,21.64,1.58
Crusaders,Jaguares,32,15,1.16,30.39,5.28
Kings,Bulls,6,38,5.41,31.46,1.15
Sharks,Lions,9,24,1.62,21.25,2.36
Reds,Highlanders,28,27,3.3,25.02,1.34
Hurricanes,Jaguares,40,22,1.18,28.77,4.89
Stormers,Sunwolves,46,19,1.02,48.63,14.69
Force,Crusaders,19,20,3.99,26.34,1.25
Chiefs,Blues,29,23,1.17,28.69,5.07
Waratahs,Rebels,17,21,1.33,24.65,3.35
Bulls,Cheetahs,23,18,1.3,25.86,3.58
Kings,Sunwolves,33,28,1.64,21.94,2.32
Brumbies,Chiefs,23,48,1.48,22.03,2.71
Blues,Jaguares,24,16,1.3,25.56,3.57
Lions,Crusaders,37,43,2.06,21.59,1.79
Highlanders,Force,32,20,1.07,38.64,8.26
Reds,Waratahs,13,15,3.31,24.24,1.34
Jaguares,Stormers,8,13,1.64,20.77,2.32
Sharks,Crusaders,14,19,1.69,20.71,2.25
Cheetahs,Brumbies,18,25,4.46,27.49,1.21
Sunwolves,Bulls,27,30,5.75,32.71,1.13
Rebels,Highlanders,3,27,3.01,23.85,1.41
Chiefs,Force,53,10,1.11,32.86,6.49
Hurricanes,Kings,42,20,1.01,39.34,18.22
Jaguares,Chiefs,26,30,1.57,21.46,2.5
Stormers,Brumbies,31,11,2.14,18.91,1.76
Lions,Cheetahs,39,22,1.22,27.97,4.32
Reds,Blues,25,25,3.07,22.04,1.4
Crusaders,Kings,57,24,1.01,42.14,18.09
Sunwolves,Rebels,9,35,2.81,23.68,1.47
Bulls,Sharks,16,16,2.06,20.43,1.81
Waratahs,Highlanders,26,30,1.62,20.87,2.37
Hurricanes,Force,41,6,1.14,30.65,5.55
Stormers,Sharks,13,18,1.48,21.72,2.74
Kings,Chiefs,24,58,8.32,40.43,1.07
Rebels,Reds,25,23,2.68,23.02,1.5
Sunwolves,Cheetahs,31,32,1.33,25.28,3.39
Highlanders,Lions,34,15,1.28,26.9,3.78
